ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|dfcfdd92f2684f77bd79f355ad44c664|2022-09-01|01:00:49|1662012049|shopping_net|357.12|1|fraud_Reichert, Rowe and Mraz|38.378182|-76.654076
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|e56aa32a68d3da258688e528a9671111|2022-09-01|03:45:59|1662021959|grocery_pos|335.21|1|fraud_Koepp-Witting|38.373733|-75.714962
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|fcb34b5b0be0e8a7a2ae3ee807ec2a4a|2022-09-01|02:06:12|1662015972|misc_pos|798.19|1|fraud_Wiza LLC|38.041625|-75.797959
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|1979f5c567dc3356bd78779fb728e855|2022-09-01|00:17:09|1662009429|shopping_net|902.09|1|fraud_Lemke-Gutmann|36.638229|-77.320526
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|9de15a198cc627b7d88f161f70cea0bb|2022-09-01|01:15:31|1662012931|misc_pos|839.75|1|fraud_Gislason Group|37.398794|-76.000940
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|1fa9f5656611e4a4532467a075c7cff6|2022-09-01|00:42:18|1662010938|shopping_pos|836.25|1|fraud_Mohr Inc|37.481558|-76.343258
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|82e6f6635947211be49c1e338e4221e3|2022-09-01|10:10:33|1662045033|misc_net|745.16|1|fraud_Huel Ltd|36.614240|-77.074682
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|9922b4a6f04ba4fe4259585af44bf7fd|2022-09-01|02:32:09|1662017529|grocery_pos|995.40|1|fraud_Rutherford-Mertz|37.062594|-76.042481
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|65f3ae1e81d8d39a1f0333df9b4b259d|2022-09-01|03:21:35|1662020495|misc_pos|1093.17|1|fraud_Kemmer-Buckridge|36.520266|-75.540041
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|21b43f550d553a842690db33a5cc0f66|2022-09-01|00:52:36|1662011556|misc_net|900.39|1|fraud_Schmitt Ltd|37.674702|-75.851766
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|ef932b424843dd53b41ef8a752e1ddb9|2022-09-02|22:47:50|1662176870|food_dining|127.35|1|fraud_Runte-Mohr|38.004349|-76.768233
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|c1945cecf110cc50c153850a45d3a254|2022-09-02|23:14:45|1662178485|home|240.64|1|fraud_Schiller, Blanda and Johnson|38.194513|-76.163504
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|baac3c5d94d73452ce6a8eb81774573a|2022-09-02|15:41:07|1662151267|home|231.19|1|fraud_Schmidt-Larkin|37.111179|-76.643930
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|ea8dddf122d3b77eef5f4bdb00ae665f|2022-09-02|22:32:31|1662175951|personal_care|26.95|1|fraud_Parker-Kunde|37.392078|-76.637549
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|becb67a193f488489eec4e2c5c025e42|2022-09-02|22:51:48|1662177108|kids_pets|19.00|1|fraud_Ruecker-Mayert|37.792443|-77.192272
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|eed4e00554d4ef1660b05acd335da832|2022-03-10|08:36:21|1646919381|gas_transport|83.14|0|fraud_Streich, Hansen and Veum|36.623515|-76.706619
158-90-8788|5573585730652407|Karina|Kim|F|739 Amy Islands Suite 498|North|VA|23128|37.4401|-76.4238|1045|Designer, multimedia|1979-12-06|580116407639|adults_2550_female_rural.json|0130dc365e3ec6f00eb361f4c1c96776|2022-01-19|05:56:54|1642589814|gas_transport|74.30|0|fraud_Marks Inc|37.306978|-75.595798
