ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|5df39c189678885d764f08033353fc3b|2025-03-09|04:11:34|1741511494|grocery_pos|6.67|1|fraud_Bogisich Inc|35.447220|-95.992844
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|aabc712901372852f71c3df6b7cbd2b3|2025-03-09|02:24:28|1741505068|entertainment|356.15|1|fraud_Bins-Tillman|36.960142|-95.587771
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|050a9dd714dfbc810296542e7babfff6|2025-03-09|02:17:50|1741504670|shopping_pos|333.52|1|fraud_Lesch Ltd|36.829021|-94.411546
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|b4f38b7ee4469bc4b9005dcb8313103e|2025-03-09|09:01:03|1741528863|entertainment|6.66|1|fraud_Abbott-Rogahn|35.900814|-94.313119
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|24a851abb2f862136cd81e39d21d5c5b|2025-03-09|03:46:49|1741510009|gas_transport|6.63|1|fraud_Bins-Rice|35.871999|-94.615659
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|de37f3ed99fd760b1128a4fd4a2edcd5|2025-03-09|11:37:53|1741538273|shopping_net|1118.59|1|fraud_Mosciski, Ziemann and Farrell|36.221568|-94.525756
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|7b3d6485348fd2bfa4cd57ceb1f1c28e|2025-03-09|03:10:18|1741507818|shopping_net|943.07|1|fraud_Gleason-Macejkovic|36.445341|-95.501886
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|b47fe03255852fcafa9abda6bc7fd9e8|2025-03-09|00:26:30|1741497990|grocery_pos|847.65|1|fraud_Lockman, West and Runte|35.727563|-94.555790
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|470f349fd096963fff3024ffaf662fe1|2025-03-09|02:13:26|1741504406|misc_pos|462.36|1|fraud_Boehm, Predovic and Reinger|36.426498|-95.396461
523-27-1623|4303243298395429|Monica|Henderson|F|6267 Shirley Springs Suite 283|Pryor|OK|74361|36.2921|-95.3129|16293|Building services engineer|1982-04-24|805862859182|adults_2550_female_urban.json|24e85e804bef3722f714bb9355fa7824|2025-03-09|03:21:13|1741508473|misc_pos|451.58|1|fraud_Eichmann-Russel|36.818897|-94.390890
