ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|4bb8f0567c9357af5ae75877d714e814|2022-11-12|03:26:47|1668241607|gas_transport|9.74|1|fraud_Kutch, Hermiston and Farrell|36.174898|-78.820282
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|a0df94242d9466ef8a15c50d63ffe9fd|2022-11-12|00:29:47|1668230987|grocery_pos|8.10|1|fraud_Huel, Hammes and Witting|35.867594|-78.073187
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|67c76d30a0ab847daeda74fc67b5c149|2022-11-12|03:09:45|1668240585|grocery_pos|9.11|1|fraud_Schamberger-O'Keefe|36.728516|-77.806200
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|1e3993a5f5920eefc3f48bb9295d153c|2022-11-12|03:12:46|1668240766|grocery_pos|304.82|1|fraud_DuBuque LLC|35.483201|-78.970574
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|f2e398c953f17fd67dda60043ea4ae03|2022-11-12|01:00:21|1668232821|grocery_net|317.82|1|fraud_Smitham-Boehm|35.048974|-78.405882
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|a30b5d1bd0d0b3e56d1a71a6f4ed0e4e|2022-11-12|00:41:06|1668231666|grocery_pos|272.20|1|fraud_Hackett-Lueilwitz|35.938346|-77.862356
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|b0877135b3f4f3c3f04b15b1f7721530|2022-11-12|00:05:11|1668229511|gas_transport|300.74|1|fraud_Harber Inc|35.626384|-78.004855
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|9d059f3f5835ebf83ce2cfc0dd8dfd11|2022-11-13|23:15:43|1668399343|shopping_pos|1101.97|1|fraud_Watsica, Haag and Considine|35.963085|-77.740209
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|974bc0854228258afab1b9123c8ed86c|2022-11-13|23:24:11|1668399851|shopping_net|1007.83|1|fraud_Predovic Inc|35.207492|-79.373927
699-60-1291|4332288985725458|Marcus|Bentley|M|633 Susan Port|Wendell|NC|27591|35.798|-78.3926|19589|Research scientist (medical)|1995-02-26|885181618728|adults_2550_male_urban.json|ac501a968cfdbb68c4a4ee91231b3e8e|2022-11-13|22:02:32|1668394952|shopping_net|773.52|1|fraud_Cormier LLC|35.931689|-78.505294
