ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|15c6f1072dad61fd67e878f4d6a7d50d|2025-02-10|00:06:48|1739164008|gas_transport|18.90|1|fraud_Mraz-Herzog|37.971395|-83.170443
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|6ed758813530dfb3829ba1fe0dbf7ef8|2025-02-10|01:44:48|1739169888|grocery_net|17.77|1|fraud_Hills-Olson|38.827254|-82.557235
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|83252fd70608accece2a940bd7a19290|2025-02-10|03:10:18|1739175018|grocery_net|11.31|1|fraud_Stokes, Christiansen and Sipes|37.976877|-81.845646
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|31a24610b45b301fb0f78215fba48ef9|2025-02-10|09:59:18|1739199558|grocery_pos|328.34|1|fraud_Rutherford-Mertz|38.441452|-82.234050
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|b10761723f1101d23d6ab9bbbfacc64b|2025-02-10|03:06:06|1739174766|grocery_pos|303.80|1|fraud_Schoen, Kuphal and Nitzsche|38.563753|-81.972439
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|3e360abb63dab78a92a2b881184412af|2025-02-11|23:55:58|1739336158|shopping_pos|912.24|1|fraud_Lesch Ltd|37.291144|-83.213048
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|217264c2724df7309790dc7a666a595a|2025-02-11|23:23:19|1739334199|shopping_pos|675.92|1|fraud_Lynch Ltd|38.847962|-83.692672
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|dde48fcddfc6a8b3aba8587d436f4d6b|2025-02-11|22:30:42|1739331042|shopping_net|879.66|1|fraud_Gottlieb, Considine and Schultz|37.530404|-82.276621
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|e0f7c2f517c53b3d7808edd222e4bfe4|2025-02-11|23:26:41|1739334401|shopping_pos|763.95|1|fraud_Watsica, Haag and Considine|38.645480|-82.899369
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|91b5f991f03cd5af0cf873d472f3e50a|2025-03-23|06:22:42|1742728962|shopping_net|68.34|0|fraud_Boyer-Reichert|38.271323|-82.620282
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|54e80aa5a1fa65a7a8c8be3895cb119c|2025-04-01|06:09:43|1743505783|shopping_pos|66.56|0|fraud_Pouros-Haag|38.452901|-82.587659
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|62519e95fecc025ecdfc544850d574f7|2025-02-23|11:19:09|1740327549|grocery_pos|44.76|0|fraud_McDermott-Weimann|37.429009|-82.575451
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|9f3be8a4d80f0d327bf438b66ede0420|2025-01-21|04:39:29|1737452369|gas_transport|72.17|0|fraud_Rodriguez Group|36.995256|-82.261106
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|81bb62cd326a3cd73ccdbf820b8b98c7|2025-04-09|02:04:33|1744182273|shopping_pos|67.62|0|fraud_Bernhard, Grant and Langworth|38.050388|-82.492806
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|0e69776c6f7d6cd9500c48a5ec75b941|2025-01-01|04:25:12|1735723512|gas_transport|46.57|0|fraud_Emard Inc|37.840994|-83.126482
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|da1b66dae116e7dec71cefde63617fa3|2025-03-31|04:15:10|1743412510|shopping_pos|59.23|0|fraud_Pacocha-Bauch|38.810755|-83.404426
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|af65c27c85016d522e6f76c608749cd9|2025-03-17|10:01:38|1742223698|shopping_net|84.81|0|fraud_Auer-West|37.053942|-83.333327
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|e1348be2178048c7c68bfdc48b59c2d1|2025-03-06|02:43:10|1741246990|misc_net|54.87|0|fraud_McGlynn-Heathcote|36.934861|-83.496962
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|97048c4d815719f6f983c3fabea7689e|2025-04-05|00:06:37|1743829597|shopping_pos|61.03|0|fraud_Douglas, Schneider and Turner|37.293976|-83.066897
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|9c6d8701ff8d4724e4856e5480618c78|2025-03-30|09:52:56|1743346376|shopping_net|78.61|0|fraud_Langworth, Boehm and Gulgowski|37.745522|-82.342404
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|7a66c20af8f4fd81fcfbba87c4f6e926|2025-03-22|01:13:10|1742623990|shopping_net|39.88|0|fraud_Labadie, Treutel and Bode|38.175019|-82.233892
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|6fa6aedbf098d64442464b8576b94fc1|2025-03-24|07:51:15|1742820675|shopping_net|80.22|0|fraud_Kozey-Boehm|37.686143|-82.055437
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|69236c7a210642ea25ecf6dd89494624|2025-02-04|10:39:35|1738683575|grocery_net|56.64|0|fraud_Jaskolski-Dibbert|38.222670|-83.684356
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|8b05ddb15b4d2035225a4cde0d96187e|2025-02-22|06:50:58|1740225058|grocery_pos|61.24|0|fraud_Bailey-Morar|38.799558|-82.797502
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|f23d8e0cf689f63f86907c0f8bc98140|2025-02-09|03:21:31|1739089291|grocery_pos|52.58|0|fraud_Cole PLC|37.609467|-82.175393
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|f8d472574aa93eef359f69ac5fd3a5cc|2025-04-07|07:11:39|1744027899|shopping_pos|67.27|0|fraud_Beier-Hyatt|37.475558|-82.643684
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|0fa7752f12a17d8579264c04c74dea73|2025-02-08|01:14:35|1738995275|grocery_pos|62.30|0|fraud_Bogisich Inc|37.418823|-82.994265
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|536206b6aadf05ba5ccd0eb573356eb5|2025-03-02|00:35:38|1740893738|misc_net|46.72|0|fraud_Zemlak Group|38.312721|-83.627377
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|905e9c1ca21224b9845c4c0afa0e0d9d|2025-02-01|01:26:06|1738391166|gas_transport|51.88|0|fraud_Bins-Rice|36.960948|-82.142931
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|7c60f7291043beae66f3e755c542c651|2025-01-18|03:28:01|1737188881|gas_transport|73.82|0|fraud_Huels-Nolan|37.224231|-82.706885
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|ce283c09cb148b93a85d990bc120c7e4|2025-03-29|05:53:49|1743245629|shopping_net|57.97|0|fraud_Kihn, Abernathy and Douglas|37.228825|-82.283978
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|089d25e20d768200143693102fa5d00d|2025-02-03|03:56:05|1738572965|grocery_net|73.62|0|fraud_Cassin-Harvey|38.845561|-82.221134
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|1d89eabe4bd11aa02b8f654aa64f54e5|2025-01-04|07:00:32|1735992032|gas_transport|62.19|0|fraud_Connelly, Reichert and Fritsch|36.947913|-83.539421
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|7932e6bf1cf21658930c97b64b7f1796|2025-03-29|07:34:17|1743251657|shopping_net|35.55|0|fraud_Predovic Inc|38.111223|-82.673969
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|5c5b4a8a558e320269dff737cf103197|2025-02-02|01:30:54|1738477854|grocery_net|46.40|0|fraud_Heller-Abshire|38.775509|-82.827085
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|251aa186f08f93a573da6100e51b0261|2025-04-05|00:33:55|1743831235|shopping_pos|39.80|0|fraud_Haley, Jewess and Bechtelar|38.356944|-83.702928
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|c20c711df11a3a50faf5a121e149c684|2025-03-22|07:33:23|1742646803|shopping_net|67.88|0|fraud_Mosciski, Ziemann and Farrell|38.836916|-83.299524
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|13253c0d3f9ecb2f692fc96d1500cf39|2025-02-08|02:50:13|1739001013|grocery_pos|72.94|0|fraud_Rowe, Batz and Goodwin|37.106405|-82.853590
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|fca3a97a54fd9ae06a08343a5bd92b67|2025-02-09|00:09:44|1739077784|grocery_pos|49.04|0|fraud_Kovacek, Dibbert and Ondricka|38.715358|-83.142388
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|3f837757324081327893a75a85f1c5e0|2025-03-18|01:09:53|1742278193|shopping_net|65.79|0|fraud_Ankunding LLC|37.480215|-82.818454
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|1165bd344b6ebb6a2382764c96814e86|2025-02-22|08:59:06|1740232746|grocery_pos|58.97|0|fraud_Kiehn Inc|37.922014|-82.052423
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|4910eac2e1ea5e0bbc61fc8096d16f4f|2025-02-06|00:28:00|1738819680|grocery_pos|60.96|0|fraud_Lockman Ltd|38.473018|-82.924246
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|1e586c748aacb5adf420b0bab63fdf1a|2025-01-26|04:32:54|1737883974|gas_transport|62.54|0|fraud_Olson, Becker and Koch|37.281624|-81.973484
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|00922ec7483d329f20aa360a445ee2d6|2025-03-03|06:33:31|1741001611|misc_net|45.49|0|fraud_Kunde-Sanford|37.917530|-82.061432
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|95f5e5c53f8a6764bedb256aee34b104|2025-04-05|05:31:10|1743849070|shopping_pos|50.81|0|fraud_Goyette, Howell and Collier|38.088400|-82.063501
194-86-7795|3595995946521701|Kathleen|Mora|F|379 John Street|River|KY|41254|37.8795|-82.7251|571|Learning disability nurse|1971-08-15|815216022800|adults_50up_female_rural.json|1214aedff863cccaea928968bf3ce1ae|2025-03-04|10:47:47|1741103267|misc_net|90.73|0|fraud_Kerluke, Considine and Macejkovic|38.672009|-81.950569
