ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|449af36177f85a1f1f4fc3fdd2712c45|2025-03-03|03:26:32|1740990392|grocery_net|9.53|1|fraud_Jaskolski-Dibbert|30.463702|-89.503337
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|c58c8b7a90d9d9184b18c79995142f81|2025-03-04|23:28:15|1741148895|shopping_pos|326.55|1|fraud_Barrows PLC|30.068947|-88.270294
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|cbb32c19dc8577e274be0ac2920f1d39|2025-03-04|23:49:42|1741150182|shopping_net|974.08|1|fraud_Fisher Inc|31.062975|-89.634192
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|d9df392a869a07b8335ee40b47f490e7|2025-03-03|22:46:34|1741059994|grocery_pos|1136.74|1|fraud_Hudson-Ratke|30.479143|-88.534669
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|517b212bd4ee52d833b3281a3afc1550|2025-03-04|22:03:39|1741143819|shopping_net|1068.97|1|fraud_Schumm PLC|30.626817|-89.045497
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|4a54555211ba08de21e453d926b37851|2025-03-04|22:05:41|1741143941|shopping_pos|852.00|1|fraud_Pouros-Haag|29.490620|-88.413972
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|9ac19de8f3a32762f3417897e96d9d44|2025-03-04|22:04:14|1741143854|shopping_net|969.49|1|fraud_Heathcote, Yost and Kertzmann|31.039486|-88.611897
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|f8faaf62248e3e40add225ea04b81497|2025-03-07|11:55:33|1741366533|misc_pos|54.64|0|fraud_Stamm-Rodriguez|30.145794|-88.571947
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|ece584e0e32439cf223576744483c40f|2025-02-11|00:24:04|1739251444|grocery_pos|44.49|0|fraud_Hackett-Lueilwitz|29.706219|-88.996217
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|db98035b1eb343209a5ae4c86987c28e|2025-02-02|08:33:00|1738503180|grocery_pos|67.43|0|fraud_Murray-Smitham|30.038449|-89.868797
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|576a5810a66d79c211fd3e20462fc1a2|2025-04-13|01:55:11|1744527311|entertainment|76.79|0|fraud_Cruickshank-Mills|30.912360|-88.304897
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|d43106a2c6e7eadb130295dccb1f9dc4|2025-01-22|07:18:15|1737548295|gas_transport|106.57|0|fraud_Christiansen, Goyette and Schamberger|29.564694|-89.623610
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|53ce2ed2d2a26dd48ee8da15cc8cd795|2025-01-20|11:56:36|1737392196|gas_transport|66.93|0|fraud_Erdman-Kertzmann|31.196783|-88.379413
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|7f72d93b47cfbabbf62b0ce258564355|2025-04-06|09:33:24|1743950004|shopping_pos|70.80|0|fraud_Torphy-Goyette|30.448943|-88.879308
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|3548918260157eea4bd6763d5e0fb54b|2025-03-11|11:13:56|1741709636|misc_pos|53.44|0|fraud_McDermott-Rice|31.181420|-89.216027
281-91-9404|30374605233025|Shannon|Luna|F|208 Rogers Springs Suite 566|Gulfport|MS|39501|30.3826|-89.0976|83530|Building surveyor|1965-03-14|801130991631|adults_50up_female_urban.json|63937435a2bf63acfe4bd851c5292fdc|2025-04-27|02:00:29|1745737229|food_dining|86.10|0|fraud_Kuhn Group|29.702966|-89.427082
