ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|600f60ec3e951a42ba5dd75c2f204598|2025-03-06|01:08:37|1741241317|grocery_pos|19.39|1|fraud_Heller, Gutmann and Zieme|42.894221|-71.422579
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|fcf523815be9d436e1090c2604a22255|2025-03-06|02:07:13|1741244833|grocery_net|21.22|1|fraud_Ortiz Group|41.667009|-71.478156
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|3b9df9bc0b628b9087bc62da74bd2b54|2025-03-06|02:16:26|1741245386|gas_transport|14.13|1|fraud_Huels-Nolan|41.448959|-71.840325
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|48e794a516929377d6ac0c4b0307675f|2025-03-06|02:21:47|1741245707|gas_transport|329.64|1|fraud_Parisian and Sons|41.817840|-71.470706
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|6fb3d35314d718e7d8f2bae0e63ed8e9|2025-03-07|23:39:35|1741408775|shopping_pos|753.33|1|fraud_Douglas, Schneider and Turner|41.184428|-70.351087
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|15adeec721a9c52bab645120456dff52|2025-03-07|16:04:12|1741381452|kids_pets|3.85|1|fraud_Dare, Casper and Bartoletti|42.431731|-70.233045
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|c429d17e899464097978cea7f157d1d1|2025-03-07|23:09:08|1741406948|travel|6.49|1|fraud_Schroeder, Wolff and Hermiston|41.359494|-70.511178
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|9fcf18560cfb9eb096832f4215367c9d|2025-01-05|02:15:44|1736061344|gas_transport|58.46|0|fraud_Heller-Langosh|42.098132|-71.487792
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|2397c332e8a85d52cd08767d9afe6d62|2025-03-05|08:15:57|1741180557|misc_net|68.93|0|fraud_Dooley-Thompson|42.133566|-70.874720
122-22-3669|676134024246|Shane|Williams|M|81059 Nguyen Squares|Babson Park|MA|02457|42.18|-71.0892|1432|Stage manager|1972-10-14|791408017807|adults_50up_male_rural.json|511b5f9176eaa19ac619e58882e81941|2025-02-18|06:05:17|1739876717|grocery_pos|68.30|0|fraud_Kiehn Inc|42.055427|-72.057792
