ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|ba283c7e1cf51b29403207d60afdfa48|2025-03-24|02:45:07|1742802307|gas_transport|8.43|1|fraud_Harber Inc|32.106854|-81.572570
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|c6f765c855fe9df47403d49e2cd123ed|2025-03-24|01:11:48|1742796708|grocery_pos|294.84|1|fraud_Kuhic Inc|33.381475|-81.717372
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|094fa1870326f107d5ea71c9ef4f28a2|2025-03-24|23:03:47|1742875427|misc_net|708.06|1|fraud_Moore, Dibbert and Koepp|32.461386|-81.280666
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|3671d13f60293e0ef8e2994b49be6cb4|2025-03-25|22:22:48|1742959368|shopping_net|995.22|1|fraud_Zboncak, Rowe and Murazik|32.695928|-80.590710
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|b67a19ea9e2db1fd09fa5e8ad0b45a9b|2025-03-25|23:49:15|1742964555|shopping_net|1051.43|1|fraud_Kuhic, Bins and Pfeffer|33.540763|-79.982205
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|24465f9fa4cffa5dbcad30936bafe38b|2025-03-25|12:46:43|1742924803|shopping_net|979.09|1|fraud_Kassulke PLC|32.265411|-81.215253
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|8cf05b10b386ee0666cc99f58d4cd6da|2025-03-25|21:32:26|1742956346|shopping_net|871.84|1|fraud_Predovic Inc|33.202169|-80.228452
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|cf4f344173ea556d55b58fa2a789c8d1|2025-03-25|16:47:10|1742939230|shopping_pos|944.71|1|fraud_Quitzon, Green and Bashirian|33.604935|-81.246888
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|3298ab8f37dcf612cfeca6328bd84758|2025-01-25|07:32:41|1737808361|grocery_net|71.97|0|fraud_Kutch-Hegmann|32.560789|-81.729723
720-56-5684|4358841834374016|Jose|Welch|M|79559 Barrett Bypass Suite 150|Ruffin|SC|29475|33.0103|-80.8137|2874|Designer, interior/spatial|1934-03-03|521500975371|adults_50up_male_urban.json|55b7bbe99216c7c50634399d91cad7eb|2025-01-06|08:30:08|1736170208|gas_transport|56.33|0|fraud_Connelly, Reichert and Fritsch|32.328160|-79.921088
