ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Crystal Lake|IL|60012|42.2662|-88.3213|59670|Accounting technician|1953-10-03|888022315787|adults_50up_female_urban.json
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|Zanesfield|OH|43360|40.3211|-83.6405|1593|Professor Emeritus|1956-06-07|917558277935|adults_50up_female_rural.json
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Durham|NH|03824|43.1174|-70.9197|14638|International aid/development worker|1993-05-30|718172762479|adults_2550_male_urban.json
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Gaithersburg|MD|20877|39.1419|-77.189|135332|Seismic interpreter|1955-12-26|947268892251|adults_50up_male_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Milwaukee|WI|53228|42.9676|-88.0434|817312|Medical laboratory scientific officer|2000-05-22|888335239225|adults_2550_male_urban.json
246-08-3947|3517182278248964|Vincent|Hickman|M|465 Lam Mission|Chicago|IL|60647|41.9209|-87.7043|2680484|Community arts worker|1968-06-18|245877882397|adults_50up_male_urban.json
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Reidsville|NC|27320|36.3432|-79.6642|39351|Plant breeder/geneticist|1987-03-06|465378164447|adults_2550_female_urban.json
479-94-0888|4065133387262473|Danielle|Leblanc|F|108 Tanya Terrace Apt. 267|Los Angeles|CA|90044|33.9551|-118.2901|2383912|Quarry manager|1974-12-27|950105810049|adults_50up_female_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Paris|TX|75462|33.6805|-95.4905|34942|Retail buyer|1972-08-23|940251608167|adults_50up_male_urban.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Corning|NY|14830|42.1383|-77.0475|19850|Acupuncturist|1995-01-26|684868121383|adults_2550_male_urban.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|House Springs|MO|63051|38.4131|-90.5575|14495|Surgeon|1980-02-26|297020387114|adults_2550_male_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|East Stroudsburg|PA|18301|41.0367|-75.1735|45923|Television floor manager|1987-08-02|161286867170|adults_2550_female_urban.json
131-06-5051|345331586923222|Stanley|Johnson|M|3421 Brennan Walks Suite 337|Greensboro|NC|27405|36.1214|-79.7733|305168|Maintenance engineer|1989-08-16|903253916954|adults_2550_male_urban.json
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|San Luis Obispo|CA|93405|35.2901|-120.6817|63473|Commercial art gallery manager|1957-09-29|989496879843|adults_50up_male_urban.json
195-33-0728|3508835615951480|Eric|Ortiz|M|482 Robert Light Apt. 994|Glenside|PA|19038|40.1096|-75.155|31595|Optician, dispensing|1971-08-14|917181406434|adults_50up_male_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Houston|TX|77076|29.858|-95.3834|2906700|Engineer, broadcasting (operations)|2005-01-06|767589450881|young_adults_male_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Epsom|NH|03234|43.2174|-71.3546|4572|Health and safety inspector|1952-01-23|857987636625|adults_50up_female_urban.json
497-81-3920|4143455812236231660|Erin|Owens|F|66909 Woods Knoll|Old Town|ME|04468|44.943|-68.675|9521|Hydrogeologist|1949-09-26|428437913341|adults_50up_female_urban.json
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Watertown|WI|53094|43.193|-88.7185|31134|Programme researcher, broadcasting/film/video|1963-04-04|370770979513|adults_50up_male_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Mission Viejo|CA|92691|33.6128|-117.6622|94804|Insurance risk surveyor|1938-11-24|636119440405|adults_50up_male_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Fresno|CA|93730|36.8878|-119.7589|570271|Solicitor|1986-11-15|531608037091|adults_2550_female_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Mathews|VA|23109|37.4383|-76.3544|1821|Recycling officer|1969-10-26|869508288813|adults_50up_male_rural.json
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lakeland|FL|33805|28.072|-81.9609|237282|Therapist, speech and language|1964-08-02|915259790398|adults_50up_male_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Whitehouse|TX|75791|32.222|-95.2266|13125|Astronomer|2006-08-09|163860419795|young_adults_female_urban.json
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|Algonquin|IL|60102|42.1641|-88.3064|32193|Accountant, chartered|2005-02-24|495675808653|young_adults_male_urban.json
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Estero|FL|33928|26.4351|-81.8102|20830|Teacher, adult education|1983-06-16|317489104406|adults_2550_male_urban.json
128-60-4983|3548877190659403|Anna|Hayden|F|490 Thomas Run|Fresno|CA|93720|36.8579|-119.7655|570271|Private music teacher|1990-12-10|308877180672|adults_2550_female_urban.json
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Cherry Hill|NJ|08002|39.9308|-75.0175|71054|Arts development officer|1939-03-05|292932052116|adults_50up_female_urban.json
135-37-7179|3510932480861310|Joel|Wilson|M|4846 Baird Gardens|Daphne|AL|36526|30.6197|-87.8895|27890|Programmer, multimedia|2001-09-08|161281455424|young_adults_male_urban.json
196-77-8328|3514658404499723|Jill|Washington|F|867 Kane Square Apt. 963|Middletown|NY|10941|41.4886|-74.345|62197|Paediatric nurse|1993-01-19|348079814698|adults_2550_female_urban.json
485-91-6247|6011702895171879|Alexis|Thomas|F|74596 Melissa Walk|Boca Raton|FL|33498|26.3907|-80.2161|210202|Social research officer, government|2010-05-03|688554816658|young_adults_female_urban.json
778-63-8865|676213431619|Paige|Padilla|F|2400 Flynn Hill|Burbank|CA|91505|34.169|-118.3442|106841|Mechanical engineer|1984-06-14|474056332778|adults_2550_female_urban.json
251-68-6752|3522196937923745|Joe|Estrada|M|8217 Huerta Hills Suite 474|Western Springs|IL|60558|41.8049|-87.8995|12960|Engineer, civil (contracting)|1972-12-14|425199071794|adults_50up_male_urban.json
110-31-6249|3594406409097438|Lawrence|Gomez|M|421 Kyle Mill|Harrisburg|PA|17110|40.303|-76.8862|165527|Analytical chemist|2005-06-10|401921209060|young_adults_male_urban.json
135-12-4836|372328588424742|Nicole|Morgan|F|1236 Davis Locks|Des Plaines|IL|60018|42.0155|-87.8687|89789|Administrator, education|1994-12-01|589546360500|adults_2550_female_urban.json
466-48-4296|3551370985931744|Matthew|Wilson|M|47113 Paul Land|Pittsburgh|PA|15232|40.4525|-79.9319|687276|Sound technician, broadcasting/film/video|1988-03-15|646045230097|adults_2550_male_urban.json
745-20-6798|4796405377351581|Steven|Newman|M|4317 Elizabeth Row|Hartland|WI|53029|43.1172|-88.3446|20799|Therapist, speech and language|1987-04-03|25645650502|adults_2550_male_urban.json
806-43-3991|4183933529042288|Danielle|Thompson|F|05395 Grant Center|Pasadena|CA|91107|34.151|-118.0889|153114|Computer games developer|1965-09-20|462747155483|adults_50up_female_urban.json
117-96-1042|38589178390843|Jimmy|Maynard|M|6617 Jones Common|Beeville|TX|78102|28.4222|-97.7616|27768|IT technical support officer|1968-11-24|161526407509|adults_50up_male_urban.json
130-36-9591|180069847896112|Sarah|Curtis|F|7365 Ross Stream|Reading|MA|01867|42.528|-71.109|23956|Chief of Staff|1938-03-27|469493820213|adults_50up_female_urban.json
682-33-6133|4111161528098856|Meagan|Jenkins|F|049 Bell Ports Apt. 273|Greencastle|PA|17225|39.7818|-77.747|18879|Clinical cytogeneticist|1968-08-19|929216664078|adults_50up_female_urban.json
377-15-4565|3568998094024455|Heather|White|F|612 Christopher Pines|Fort Lauderdale|FL|33305|26.1497|-80.1229|711693|Engineer, structural|1991-12-05|461177243339|adults_2550_female_urban.json
350-21-6063|4991022901476797641|Cindy|Hunt|F|1497 Williams Locks Apt. 034|East Tawas|MI|48730|44.3008|-83.4776|4716|Engineer, mining|1994-06-08|153619596480|adults_2550_female_urban.json
297-42-1966|675962268388|Justin|Barnett|M|60607 Michelle Ports Suite 966|Craig|CO|81625|40.5224|-107.5615|12921|Horticultural consultant|2006-09-10|442876297368|young_adults_male_urban.json
333-22-7539|3516136968164536|Felicia|Jackson|F|835 Luna Viaduct|Chicago|IL|60644|41.8829|-87.7582|2680484|Data scientist|1986-09-16|112683916677|adults_2550_female_urban.json
263-26-2843|3512779979955279|Barry|Ramos|M|9058 Lance Mission Apt. 054|Egg Harbor Township|NJ|08234|39.3741|-74.6118|42532|Camera operator|2002-12-24|951956593813|young_adults_male_urban.json
630-77-8308|6598079359782074|Brian|Nolan|M|182 John Mill Suite 889|Lemoore|CA|93245|36.2682|-119.8173|37412|Designer, interior/spatial|2002-01-27|409584822948|young_adults_male_urban.json
397-53-5544|4515186449251922|Thomas|Collins|M|91486 Li Skyway Apt. 685|Bethel|MN|55005|45.3887|-93.2315|4422|Adult nurse|2002-08-16|340859761513|young_adults_male_urban.json
220-44-7968|4221418880595|Bonnie|Bennett|F|92706 Rhodes Freeway|Boca Raton|FL|33486|26.3481|-80.1104|210202|Producer, radio|1971-02-18|311860132678|adults_50up_female_urban.json
767-58-3834|213147359774686|Kelsey|Burch|F|240 Sawyer Plaza|Hopewell|VA|23860|37.2876|-77.295|31970|Civil engineer, contracting|1968-08-07|930768379867|adults_50up_female_urban.json
872-16-4671|2225782613750601|James|Brooks|M|53051 Moody Dam Apt. 472|Pittsburgh|PA|15232|40.4525|-79.9319|687276|Psychotherapist, child|1988-07-21|676236594141|adults_2550_male_urban.json
082-03-4194|4898614341033|Jennifer|Bauer|F|17980 Jennifer Highway Suite 095|Ruston|LA|71270|32.5308|-92.6439|32780|Financial adviser|1950-03-06|457717515381|adults_50up_female_urban.json
681-86-1403|180018888806704|Mark|Zavala|M|051 Allen Shoals Apt. 952|Thomson|IL|61285|41.9816|-90.0844|1631|Armed forces operational officer|1995-05-16|598513567016|adults_2550_male_rural.json
834-83-2869|4722170430305482|Jennifer|Ochoa|F|0345 Michelle Isle Suite 156|Silver Spring|MD|20902|39.04|-77.0444|282095|Office manager|1994-07-09|484228819436|adults_2550_female_urban.json
348-24-8130|3558416169284518|Angela|Guerrero|F|9627 West Stream Suite 964|Cumberland|MD|21502|39.5992|-78.8444|44400|Barista|1995-02-26|734761706971|adults_2550_female_urban.json
416-47-8407|3502970213556906|Larry|Shelton|M|7192 Sanders Run Suite 310|Bellingham|WA|98225|48.749|-122.4887|117728|Electronics engineer|1972-09-09|569079060568|adults_50up_male_urban.json
576-16-4289|4394731217271551888|Donna|Evans|F|258 David Flats|Irvine|CA|92606|33.6951|-117.8224|212569|Corporate treasurer|1934-03-02|868600167952|adults_50up_female_urban.json
