ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|85ece414067981888414b4653962a214|2025-03-30|03:46:51|1743324411|grocery_pos|10.93|1|fraud_Lockman, West and Runte|31.789551|-94.553280
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|06f09887869def61698cc514026086f4|2025-03-30|00:46:25|1743313585|grocery_pos|14.07|1|fraud_Rutherford-Mertz|32.120204|-93.957228
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|e0817a11e37eceb38c8d7860712d5431|2025-03-30|01:28:22|1743316102|grocery_net|12.59|1|fraud_Wuckert-Walter|31.166230|-94.224613
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|41b0b435b59a3cc451c0e13988152a44|2025-03-30|07:07:10|1743336430|grocery_pos|7.99|1|fraud_Schultz, Simonis and Little|31.537532|-94.656020
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|1f089f4b5b2dfc0204ad365283249102|2025-03-30|00:52:20|1743313940|gas_transport|316.83|1|fraud_Friesen-Stamm|32.610020|-92.703914
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|903ef68198f4e8c1251cd0d70aeca455|2025-03-30|01:51:50|1743317510|gas_transport|335.63|1|fraud_Lind, Huel and McClure|30.883042|-93.422621
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|99e9313ee9c5176962b8a4356d997c6b|2025-03-30|01:43:55|1743317035|grocery_pos|303.67|1|fraud_Rau and Sons|32.533016|-94.288032
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|45c0db536eefb7dec0b01f3ddfa7a14d|2025-03-30|04:27:39|1743326859|gas_transport|244.10|1|fraud_Reilly, Heaney and Cole|30.818372|-94.506798
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|b555fb6096aefb6e1b13309356c08202|2025-03-31|22:20:57|1743477657|shopping_pos|792.61|1|fraud_Douglas, Schneider and Turner|31.267404|-94.200048
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|de976f54190c00fecde21263732114a1|2025-03-31|22:43:25|1743479005|shopping_net|789.62|1|fraud_Greenholt, O'Hara and Balistreri|31.826160|-94.296485
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|a0547f834c74ee9e7e9ce6652fc42797|2025-03-31|23:34:25|1743482065|shopping_pos|1305.96|1|fraud_Dooley Inc|31.140882|-94.498980
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|d17f8758a176622b1e5bdaa0b4a5b4bc|2025-03-30|22:07:02|1743390422|misc_net|1123.34|1|fraud_Donnelly PLC|32.728268|-93.982452
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|fe9717b79f7251fd2e0cd000f6c76615|2025-03-31|23:41:25|1743482485|shopping_net|906.37|1|fraud_Price Inc|31.301422|-93.781074
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|00eff11bce93e445f6446ebb24805576|2025-03-31|22:13:25|1743477205|food_dining|1329.49|1|fraud_Koss, McLaughlin and Mayer|32.292888|-93.940505
656-64-7193|568430988390|Caroline|Johnson|F|021 Chan Knoll|Converse|LA|71419|31.7339|-93.6902|2444|Nutritional therapist|2004-12-18|645986493050|young_adults_female_rural.json|4a67c231b8739f4426872037ee06ec5e|2025-03-31|22:42:50|1743478970|travel|1319.38|1|fraud_Tromp Group|31.838734|-94.143544
