ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|3a50c91dedb2365b6994e3721b0dcdff|2025-02-16|07:04:38|1739707478|grocery_pos|44.98|0|fraud_Osinski, Ledner and Leuschke|37.024614|-121.106385
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|004fe92ec45cbc269e67faf7004dc3bf|2025-01-05|04:39:10|1736069950|gas_transport|26.51|0|fraud_Erdman-Kertzmann|37.026706|-121.216493
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|6e08f0c1b621153bad0aad2dd5f20f3f|2025-01-29|11:32:14|1738168334|gas_transport|68.35|0|fraud_Schaefer, Maggio and Daugherty|35.620062|-121.778625
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|cc0fc4a3ccdffaf342035890b256563a|2025-02-08|11:25:01|1739031901|grocery_net|59.53|0|fraud_Dach-Borer|36.110872|-121.030002
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|9a67b4c53104b442b4b13a96d0043215|2025-02-04|02:25:57|1738653957|grocery_net|60.71|0|fraud_Bahringer-Larson|36.923168|-120.503695
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|d3e5ef50525ebf5ed4c0ee3f4c0f78c8|2025-01-18|03:31:27|1737189087|gas_transport|41.84|0|fraud_Bernhard Inc|36.488752|-121.057070
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|c762086a221d3554cfcc1d31b4429f0b|2025-01-30|11:49:22|1738255762|gas_transport|69.11|0|fraud_Berge LLC|35.564961|-121.993744
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|dd1d827de3c9e51e2262af5ffe07421a|2025-01-26|07:22:02|1737894122|gas_transport|47.46|0|fraud_Mraz-Herzog|37.379741|-120.950847
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|00c4d2dc257162c47a2e2e2706e73048|2025-01-24|10:33:47|1737732827|gas_transport|50.57|0|fraud_Bartoletti-Wunsch|37.350474|-122.333609
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|696e4639693d235f4f820a1068b97770|2025-01-07|09:42:07|1736260927|gas_transport|71.06|0|fraud_Erdman-Kertzmann|35.813103|-122.042514
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|3c9e8b032e78e2791c096e07440a4bb9|2025-01-18|11:39:42|1737218382|gas_transport|43.18|0|fraud_Harris Inc|36.760521|-120.757195
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|88dfaeb5ddba3b066ce5906690f626f4|2025-01-26|02:55:54|1737878154|gas_transport|59.68|0|fraud_Bins-Rice|36.215627|-121.160610
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|0ece84d7d8997f851753734fcfc1567b|2025-01-25|00:15:24|1737782124|gas_transport|62.50|0|fraud_Greenholt, Jacobi and Gleason|36.812714|-121.041354
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|c072797aa4cbbb87ee7898e2be0ee63e|2025-02-10|11:32:09|1739205129|grocery_pos|52.32|0|fraud_Schamberger-O'Keefe|35.653159|-121.845776
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|4e02c05a7f0f549b744e5d2b835029bf|2025-01-10|04:20:49|1736500849|gas_transport|76.78|0|fraud_Zieme, Bode and Dooley|36.016239|-121.070897
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|55bf403f876bfdd837fa4930d02e5e97|2025-02-09|02:18:21|1739085501|grocery_net|79.13|0|fraud_Trantow PLC|36.088304|-121.965932
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|bf250248b5b43a6c458045951bf706ac|2025-02-03|03:53:41|1738572821|grocery_net|73.15|0|fraud_Murray Ltd|35.550716|-121.196016
750-56-7983|4289539264422099|Jenna|Gamble|F|95939 Sharon Divide|Gonzales|CA|93926|36.49|-121.4103|8726|Learning disability nurse|2005-05-11|84805603866|young_adults_female_urban.json|0fc25b1e442423b104a8810f95625eaa|2025-01-31|08:26:16|1738329976|gas_transport|45.64|0|fraud_Stroman, Hudson and Erdman|36.157333|-122.044950
