ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|18b690f79576b9a34c3180dedddbcda4|2022-12-15|02:55:35|1671090935|gas_transport|7.19|1|fraud_Kuvalis Ltd|36.004671|-80.971666
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|bfd08fcf6d219fa8734c0ae7cd040494|2022-12-16|04:42:45|1671183765|grocery_pos|295.96|1|fraud_Osinski, Ledner and Leuschke|36.500821|-81.502445
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|90b0f6338f6e01cff737560ccc4ee766|2022-12-16|23:30:51|1671251451|misc_net|772.23|1|fraud_Hayes, Marquardt and Dibbert|37.234336|-80.892091
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|6ee113882d16121cdae2a4cbbf732b87|2022-12-16|23:57:55|1671253075|shopping_net|918.84|1|fraud_Mosciski, Ziemann and Farrell|35.761547|-81.470339
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|e5441102bc808c70747ca7e9120e3c85|2022-12-16|22:08:54|1671246534|shopping_net|928.50|1|fraud_Jast Ltd|35.670375|-81.505408
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|cafc637dd279231f2eaef7ce987b61e7|2022-12-16|22:15:22|1671246922|shopping_pos|1104.75|1|fraud_Haley, Jewess and Bechtelar|35.809800|-80.050802
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|5f16ac133b190f86a8db6c5e949e32e6|2022-01-14|05:17:27|1642155447|gas_transport|74.44|0|fraud_Zieme, Bode and Dooley|37.528381|-79.757685
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|917d8a6e983c1e8f77a46a39182d8918|2022-03-05|07:28:12|1646483292|grocery_net|41.84|0|fraud_Dicki Ltd|36.643984|-80.655527
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|cde385fdd46bae1dfe9f6ff2dd678a9a|2022-01-23|07:09:31|1642939771|gas_transport|72.95|0|fraud_Parisian and Sons|36.310768|-80.860624
504-14-2358|180039174101196|Nicholas|Waters|M|2006 Hernandez Isle|Fancy Gap|VA|24328|36.664|-80.6908|1726|Nurse, adult|2004-12-17|2468061102|young_adults_male_rural.json|971ac960e40e9de28683b4613b7c517c|2022-03-15|00:58:08|1647323888|grocery_net|58.82|0|fraud_Gutmann Ltd|37.586624|-80.122202
