ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|05e1a9267dfc0d4651261eb07598398a|2025-05-24|01:04:30|1748066670|gas_transport|8.98|1|fraud_Zieme, Bode and Dooley|39.415863|-83.541714
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|9e323ab4ebe4a59e0646d9235e877b95|2025-05-24|07:33:47|1748090027|misc_net|12.18|1|fraud_Zemlak Group|40.433567|-82.790278
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|73db74bcf88dd3e0387fb2fcb0bf0ff7|2025-05-24|03:51:44|1748076704|grocery_pos|274.83|1|fraud_Barton Inc|40.496931|-83.929246
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|1aa3f41f41abe5cc5619f6b755d94b6e|2025-05-24|01:45:30|1748069130|misc_net|315.85|1|fraud_Rippin, Kub and Mann|39.338866|-83.121729
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|078bd21d3ec1bb8de87024d2054b2da6|2025-05-24|01:58:26|1748069906|gas_transport|314.00|1|fraud_Corwin-Collins|39.221014|-83.885354
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|595737535b69840880871ae5fe7004e8|2025-05-24|02:16:50|1748071010|grocery_pos|760.02|1|fraud_Kiehn Inc|39.833833|-83.487330
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|0b73dbaf588da41f5ddcdeb548ac324a|2025-05-24|03:35:01|1748075701|grocery_pos|793.15|1|fraud_Hackett-Lueilwitz|39.358835|-83.327419
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|f34b3b4f8fdb1377a4db024ccbd455e5|2025-05-24|00:10:25|1748063425|misc_net|791.47|1|fraud_Miller-Harris|40.915591|-83.375326
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|7a4d13c2328492c343e8b2b0017be827|2025-05-25|21:27:20|1748226440|personal_care|835.88|1|fraud_Berge, Kautzer and Harris|40.598322|-83.179321
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|287f426be4a64416318810ca9b2ca052|2025-05-25|22:57:00|1748231820|entertainment|1028.02|1|fraud_Schaefer, Fay and Hilll|39.419200|-83.870425
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|673162fb3b2f98e70c8b5727536057fc|2025-05-25|23:16:16|1748232976|shopping_net|1084.99|1|fraud_Ruecker, Beer and Collier|40.384383|-83.723256
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|6014eac474f4232ba846deb09fb85ab2|2025-05-25|22:27:17|1748230037|shopping_net|1028.13|1|fraud_Kassulke PLC|39.642805|-83.979108
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|6445fca6214a4434969b5984fac002ef|2025-05-25|23:43:31|1748234611|shopping_net|1022.66|1|fraud_Baumbach, Feeney and Morar|40.983576|-83.182555
060-79-4356|213114138113867|Collin|Fox|M|288 Reese Trafficway|Columbus|OH|43221|40.0226|-83.0776|783285|Technical author|2002-02-08|740271815861|young_adults_male_urban.json|999561cfbc5976cb44bbaf9e37a4e3fe|2025-05-25|22:57:44|1748231864|shopping_net|882.99|1|fraud_Schmidt and Sons|40.039556|-83.635342
